date,open,close,high,low,volume
31/03/2020 02:15,237,236.6,237,235.8,97900
31/03/2020 02:30,236,234.6,236.6,233.4,265800
31/03/2020 02:45,234.6,235.2,236.2,234.4,304300
31/03/2020 03:00,235.4,235.4,236,235.2,100800
31/03/2020 03:15,235.4,234.8,236,234.4,211600
31/03/2020 03:30,234.8,233.8,235,233.6,249900
31/03/2020 03:45,233.8,233,234,233,257600
31/03/2020 04:00,233,232.2,233.6,232,157700
31/03/2020 04:15,232,233,233.4,232,125900
31/03/2020 04:30,233.2,232.8,233.4,232.6,69700
31/03/2020 04:45,232.8,232.8,233,232.4,69200
31/03/2020 05:45,232.6,232.8,232.8,232.6,3700
31/03/2020 06:00,232.4,232.8,233,231,164000
31/03/2020 06:15,232.8,233.6,233.6,232.4,57200
31/03/2020 06:30,233.6,233.6,233.6,233,53900
31/03/2020 06:45,233.4,233.6,233.6,233,67900
31/03/2020 07:00,233.4,233.2,233.4,232.8,81800
31/03/2020 07:15,233,233.2,233.4,232.8,82500
31/03/2020 07:30,233.2,232,233.2,231.2,292600
31/03/2020 07:45,232,231.8,232,231.4,101700
31/03/2020 08:00,231.8,232,232.2,231.4,203500
31/03/2020 08:15,232,231.6,232.4,231.6,150900
31/03/2020 08:30,231.8,232,232.2,231.6,194200
31/03/2020 08:45,231.8,232.6,232.8,231.6,349900
31/03/2020 09:00,233.8,233.8,233.8,233.8,1092500
01/04/2020 02:15,236.6,234.8,236.6,234.6,293000
01/04/2020 02:30,235,233.2,235.8,233,299200
01/04/2020 02:45,233.4,234.4,234.6,233.4,301400
01/04/2020 03:00,234.6,234,234.6,233.8,178100
01/04/2020 03:15,234.2,232.6,234.2,232.6,207300
01/04/2020 03:30,232.8,232,232.8,231.8,256000
01/04/2020 03:45,232,232.6,232.8,231.8,287800
01/04/2020 04:00,232.4,232.6,232.8,232,142200
01/04/2020 04:15,232.4,232.4,232.8,232,144100
01/04/2020 04:30,232.4,232.8,232.8,231.8,244500
01/04/2020 04:45,232.6,232.4,232.8,232,195200
01/04/2020 05:45,232.2,232.4,232.4,232.2,5100
01/04/2020 06:00,232.4,232.4,233.6,232.2,113000
01/04/2020 06:15,232.2,232.6,233.4,232.2,116800
01/04/2020 06:30,232.4,231.2,233,230.8,190500
01/04/2020 06:45,231,230.8,231.6,230,268500
01/04/2020 07:00,230.6,229.2,231,229,207500
01/04/2020 07:15,229.2,229.2,229.8,229,190500
01/04/2020 07:30,229.2,229.2,229.8,228.6,188800
01/04/2020 07:45,229.4,229.8,229.8,229.2,120600
01/04/2020 08:00,229.8,230,230,229.4,204200
01/04/2020 08:15,229.8,229.6,230,229.6,144100
01/04/2020 08:30,229.6,230.6,230.6,229.2,224600
01/04/2020 08:45,230.4,230.6,231,229.6,318900
01/04/2020 09:00,231,231,231,231,347300
02/04/2020 02:15,231,230.4,231,230,104700
02/04/2020 02:30,230.2,230.8,231.4,229.2,212000
02/04/2020 02:45,231,231,231.8,230.8,97000
02/04/2020 03:00,230.8,232.6,232.8,230.8,89300
02/04/2020 03:15,232.6,232.4,233,232.2,84400
02/04/2020 03:30,232.2,233,233,232.2,97900
02/04/2020 03:45,233,234.2,234.6,232.6,323800
02/04/2020 04:00,234.2,233.8,234.4,233.6,124300
02/04/2020 04:15,233.6,233.8,234.4,233.6,93800
02/04/2020 04:30,233.6,234.4,234.6,233.6,43800
02/04/2020 04:45,234.4,233.8,234.6,233,57400
02/04/2020 05:45,233.6,233.6,233.8,233.6,2300
02/04/2020 06:00,233.6,232.6,233.6,232.6,55300
02/04/2020 06:15,232.8,232.4,232.8,231.6,81900
02/04/2020 06:30,232.4,232.8,233.2,232,58200
02/04/2020 06:45,232.8,233.2,233.4,232.2,88200
02/04/2020 07:00,233.4,233.4,233.8,233.2,64500
02/04/2020 07:15,233.6,233,233.8,232.6,115700
02/04/2020 07:30,232.8,233.2,233.6,232.8,36300
02/04/2020 07:45,233.4,233.6,233.8,233.2,79700
02/04/2020 08:00,233.4,233.4,233.8,233.4,82900
02/04/2020 08:15,233.6,233.6,233.8,233.2,94000
02/04/2020 08:30,233.6,233.2,233.8,232.6,247300
02/04/2020 08:45,233.2,233.6,233.8,232.8,256500
02/04/2020 09:00,235,235,235,235,704300
03/04/2020 02:15,232.6,233.2,234.8,232.6,51600
03/04/2020 02:30,232.8,234.6,235,232.6,309000
03/04/2020 02:45,234.4,236.2,236.2,234.4,351400
03/04/2020 03:00,236.2,235.2,236.4,235.2,102600
03/04/2020 03:15,235.2,235.6,235.8,235,133300
