date,open,close,high,low,volume
2020-04-01 14:30,1932.97,1932.14,1944.96,1927,227256
2020-04-01 14:45,1932,1927.3,1933.16,1919.26,134581
2020-04-01 15:00,1927.59,1932.44,1933.95,1926.94,75887
2020-04-01 15:15,1932.63,1929.25,1934,1928,55741
2020-04-01 15:30,1930.1,1929.03,1933.5,1927.67,74404
2020-04-01 15:45,1929.33,1928.79,1934.48,1925.35,36558
2020-04-01 16:00,1929.22,1933.42,1934.5,1929,44887
2020-04-01 16:15,1934,1926.69,1937,1926.29,68076
2020-04-01 16:30,1926.7,1923.2,1929.53,1920.97,62239
2020-04-01 16:45,1923.07,1923.48,1927.53,1920.68,44412
2020-04-01 17:00,1921.61,1922.45,1924.14,1920.02,40388
2020-04-01 17:15,1922.04,1916,1924.08,1915.3,48192
2020-04-01 17:30,1916.35,1907.65,1921.97,1904.01,118729
2020-04-01 17:45,1907.9,1907.57,1913.62,1903.24,56178
2020-04-01 18:00,1906.14,1910,1917,1905.57,54879
2020-04-01 18:15,1910.15,1912.91,1914,1907.01,41476
2020-04-01 18:30,1912.5,1913.91,1916.08,1909.05,41961
2020-04-01 18:45,1913.91,1914.29,1917,1908.5,45809
2020-04-01 19:00,1914.96,1916.38,1917.49,1913,38360
2020-04-01 19:15,1916.55,1914.01,1916.8,1911.05,29343
2020-04-01 19:30,1914.31,1914.15,1917,1910,37546
2020-04-01 19:45,1913.31,1906.48,1915.62,1904.73,43449
2020-04-01 20:00,1906.3,1905.89,1911.39,1905.5,43525
2020-04-01 20:15,1905.79,1902.33,1908.21,1902.1,60385
2020-04-01 20:30,1902.65,1897.73,1906.6,1893,113744
2020-04-01 20:45,1898.6,1907.7,1913,1897.42,435654
2020-04-01 21:15,1907.7,1907.7,1907.7,1907.7,0
2020-04-02 14:30,1901.64,1906.22,1921.94,1898.49,267800
2020-04-02 14:45,1907.13,1913.41,1916,1901.05,115986
2020-04-02 15:00,1914,1914.42,1918.11,1907.52,80312
2020-04-02 15:15,1915.1,1915.59,1916.95,1911.11,51442
2020-04-02 15:30,1915,1919.76,1927.53,1914.83,130271
2020-04-02 15:45,1921.53,1920.38,1923.64,1913,64412
2020-04-02 16:00,1921.04,1916.74,1921.46,1912.74,39198
2020-04-02 16:15,1916.5,1914.21,1922.79,1913.99,77806
2020-04-02 16:30,1914.79,1914.15,1916.46,1909.68,70342
2020-04-02 16:45,1912.93,1920.02,1922.64,1912.93,69122
2020-04-02 17:00,1920.87,1921,1922.5,1918,54724
2020-04-02 17:15,1920.89,1919.74,1922.12,1917,51264
2020-04-02 17:30,1919.91,1919.66,1921.69,1917.81,31603
2020-04-02 17:45,1918.73,1920.14,1921.5,1918.19,25302
2020-04-02 18:00,1920.25,1913.98,1922.2,1913.15,48769
2020-04-02 18:15,1914.42,1904.08,1914.42,1902.6,81980
2020-04-02 18:30,1903.71,1908.56,1909.91,1901.2,53188
2020-04-02 18:45,1908.2,1905.23,1909.39,1904.73,39679
2020-04-02 19:00,1905.24,1897.25,1905.24,1893.42,104302
2020-04-02 19:15,1897.22,1898.42,1900.09,1890,88413
2020-04-02 19:30,1897.73,1898.12,1900,1891.91,55859
2020-04-02 19:45,1898.21,1910.78,1910.78,1898.21,102325
2020-04-02 20:00,1910.27,1908.32,1912.83,1906.11,66264
2020-04-02 20:15,1907.65,1908.18,1910.72,1905.56,73153
2020-04-02 20:30,1908.56,1910.27,1910.74,1902.01,70670
2020-04-02 20:45,1910.83,1918.83,1920,1903.99,380392
2020-04-02 21:15,1918.83,1918.83,1918.83,1918.83,0
2020-04-03 14:30,1911.15,1921.59,1923.07,1910.12,112432
2020-04-03 14:45,1917.73,1920,1924.6,1916.97,33948
2020-04-03 15:00,1921.05,1915.48,1924.46,1915.06,44498
2020-04-03 15:15,1915.44,1910.09,1915.81,1907,76591
2020-04-03 15:30,1910.11,1911.16,1913,1907.89,43494
2020-04-03 15:45,1910.84,1905.35,1911.98,1904.11,39722
2020-04-03 16:00,1905.45,1906.43,1910.29,1905.36,34598
2020-04-03 16:15,1906.28,1903.49,1908.94,1902.57,50656
2020-04-03 16:30,1903.01,1901.07,1905.5,1899,56041
2020-04-03 16:45,1900.64,1901.83,1902.4,1898.27,41351
2020-04-03 17:00,1902.4,1898.95,1903.68,1898.12,50168
2020-04-03 17:15,1899.8,1898.15,1900.32,1895.55,49141
2020-04-03 17:30,1897.66,1899.66,1900.35,1897,36067
2020-04-03 17:45,1899.33,1897.39,1899.33,1895.1,28512
2020-04-03 18:00,1897.26,1896.66,1898.44,1894.47,55060
2020-04-03 18:15,1897.19,1896.82,1900,1894.88,46665
2020-04-03 18:30,1897.01,1893.14,1897.01,1892.17,48497
2020-04-03 18:45,1893.66,1892.56,1894,1889.69,40687
2020-04-03 19:00,1893.07,1891.57,1895.94,1889.15,43645
2020-04-03 19:15,1891.61,1897.44,1897.79,1889.37,54150
2020-04-03 19:30,1896.23,1893,1897.4,1892.52,47752
2020-04-03 19:45,1892.99,1898.48,1899.24,1892.99,39582
2020-04-03 20:00,1898.9,1895.07,1900,1892.31,56653
2020-04-03 20:15,1894.7,1895.41,1898.74,1893.73,44085
2020-04-03 20:30,1896.23,1892.31,1899.08,1891.01,79240
2020-04-03 20:45,1892.03,1906.59,1906.95,1891.97,481222
2020-04-03 21:15,1906.59,1906.59,1906.59,1906.59,0
2020-04-06 14:30,1936,1934.78,1943.24,1930.02,273311
2020-04-06 14:45,1934.62,1948,1948.01,1934.19,196624
2020-04-06 15:00,1947.79,1944.44,1953,1940.7,157560
2020-04-06 15:15,1945,1949.98,1952,1944.2,90713
2020-04-06 15:30,1950.48,1954,1959.2,1948,113562
2020-04-06 15:45,1953.9,1956,1956.5,1951.28,84817
2020-04-06 16:00,1956.09,1958.18,1960.91,1954.77,86852
2020-04-06 16:15,1958.79,1961.16,1961.97,1955.5,58784
2020-04-06 16:30,1961.44,1959.2,1962.14,1957.18,52350
2020-04-06 16:45,1959.45,1960.61,1962.15,1958.13,43917
2020-04-06 17:00,1960.34,1967.51,1967.97,1959.68,64085
2020-04-06 17:15,1967.64,1969,1969.42,1965.94,74179
2020-04-06 17:30,1968.43,1970.29,1970.31,1966.44,62132
2020-04-06 17:45,1970.3,1972.91,1973.19,1966.34,73161
2020-04-06 18:00,1972.97,1972.46,1974.72,1970.19,50736
2020-04-06 18:15,1972.04,1974.3,1974.79,1971.06,52157
2020-04-06 18:30,1974.5,1973.98,1975.13,1972.86,81643
2020-04-06 18:45,1974.12,1978.65,1979,1972.58,61122
2020-04-06 19:00,1978.9,1974.93,1978.9,1972.78,85852
2020-04-06 19:15,1974.75,1972.64,1975.27,1970,96997
2020-04-06 19:30,1972.69,1978.29,1978.7,1972.36,64976
2020-04-06 19:45,1978.4,1978.22,1979.34,1974.66,77247
2020-04-06 20:00,1978.95,1976.48,1980,1976,77038
2020-04-06 20:15,1976.48,1981.27,1982,1975,149028
2020-04-06 20:30,1981.56,1986.46,1987.28,1980.45,166791
2020-04-06 20:45,1986.36,1997.59,1998.52,1982.17,913946
2020-04-06 21:15,1997.59,1997.59,1997.59,1997.59,0
